day,Susceptible,Exposed,Infectious,Recovered
227.0,6799328.186184024,168.46896424098688,1696.626696013166,193198806.7181557
228.0,6799308.868153278,155.55961478723603,1566.5009638102347,193198969.0712681
229.0,6799291.030763978,143.63846518422656,1446.349674966071,193199118.98109585
230.0,6799274.535928593,132.60831711306813,1335.2477773530845,193199257.60797694
231.0,6799259.264148374,122.3872983086652,1232.3924477442315,193199385.95610556
232.0,6799245.147417276,112.93820507860106,1137.3172609131732,193199504.5971167
233.0,6799232.111443927,104.21282771660957,1049.520378316674,193199614.15535003
234.0,6799220.082867736,96.16274629844696,968.5070723078843,193199715.24731365
235.0,6799208.9907705225,88.74091892730061,893.7993198547344,193199808.46899068
236.0,6799198.766676511,81.90168173378908,824.9358025399347,193199894.3958392
237.0,6799189.344552329,75.60074887596213,761.4719065609744,193199973.58279222
238.0,6799180.660807014,69.79521253930068,702.9797227301221,193200046.5642577
239.0,6799172.65429201,64.4435429367167,649.0480464744268,193200113.85411856
240.0,6799165.266301165,59.50558830855353,599.2823778357158,193200175.94573268
241.0,6799158.440570736,54.94257492258558,553.3049214705974,193200233.31193286
242.0,6799152.123375574,50.717193131979556,510.75521257926886,193200286.4042187
243.0,6799146.277205489,46.80539598455864,471.3795555372302,193200335.537843
244.0,6799140.875687363,43.19106813107819,434.9987802444037,193200380.93446425
245.0,6799135.889321875,39.854694602937506,401.41398199201706,193200422.84200153
246.0,6799131.289562828,36.77732981564091,370.43274377967373,193200461.50036356
247.0,6799127.048817152,33.94059756879775,341.86913631535253,193200497.14144894
248.0,6799123.1404449,31.326691046122384,315.54371801540833,193200529.98914602
249.0,6799119.538759254,28.918372815434203,291.2835350045709,193200560.25933293
250.0,6799116.219026518,26.698974828657633,268.9221211159462,193200588.15987754
251.0,6799113.157466124,24.652398421822085,248.29949789101533,193200613.89063755
252.0,6799110.331250629,22.763114315062005,229.2621745796353,193200637.64346048
253.0,6799107.718505717,21.016162612616885,211.66314814003857,193200659.60218352
254.0,6799105.29918498,19.397860531352894,195.36767204990585,193200679.93528244
255.0,6799103.061832978,17.901104814011422,180.29802590425453,193200698.7390363
256.0,6799100.995320519,16.518645712061456,166.37905376775922,193200716.10698
257.0,6799099.088178843,15.242863953133664,153.53345569398817,193200732.1355015
258.0,6799097.329311609,14.066371184111798,141.68645833254487,193200746.91785887
259.0,6799095.707994893,12.98200997113269,130.76581492906797,193200760.54418018
260.0,6799094.213877188,11.98285379958627,120.70180532523143,193200773.10146368
261.0,6799092.836979403,11.062207074115541,111.42723595874428,193200784.67357755
262.0,6799091.567694868,10.2136051186166,102.87743986335077,193200795.34126014
263.0,6799090.396789327,9.43081417623863,94.99027666883046,193200805.18211982
264.0,6799089.315400943,8.70783140938389,87.706132600998,193200814.27063504
265.0,6799088.315040297,8.038884899707735,80.96792048170329,193200822.67815432
266.0,6799087.388746612,7.419310418439593,74.72876385004172,193200830.4631791
267.0,6799086.53261948,6.846655288741785,68.9622344624531,193200837.65849075
268.0,6799085.742097364,6.317889974788032,63.63758611758229,193200844.30242655
269.0,6799085.012724566,5.830046654909999,58.72479459809612,193200850.43243417
270.0,6799084.340191023,5.380250059747901,54.194821483458824,193200856.08473742
271.0,6799083.720332309,4.9657174722504855,50.019614149932096,193200861.29433605
272.0,6799083.14912963,4.583758727675047,46.172105770575065,193200866.09500587
273.0,6799082.62270983,4.231776213587423,42.62621531524427,193200870.51929864
274.0,6799082.1373453885,3.9072648698619874,39.35684755059373,193200874.59854218
275.0,6799081.689454418,3.607812188681658,36.339893040074855,193200878.36284035
276.0,6799081.275600668,3.331098214537896,33.55222814393654,193200881.84107298
277.0,6799080.892505498,3.074904350351646,30.9717948701234,193200885.06079528
278.0,6799080.537973005,2.8377853625388223,28.583778904913146,193200888.0404627
279.0,6799080.210410629,2.6187036043089265,26.377425733158574,193200890.79346
280.0,6799079.908031213,2.4164680127138256,24.340693450773845,193200893.3348073
281.0,6799079.629104583,2.229924336723295,22.461925258290698,193200895.6790458
282.0,6799079.371957546,2.057955137225018,20.72984946085846,193200897.84023786
283.0,6799079.134973891,1.899479787024588,19.133579468244065,193200899.83196685
284.0,6799078.916594388,1.7534544708455038,17.66261379483201,193200901.66733733
285.0,6799078.715316786,1.6188721853291754,16.306836059624388,193200903.35897496
286.0,6799078.529695819,1.49476273903492,15.056514986240888,193200904.91902643
287.0,6799078.3583432,1.3801927524399635,13.90230440291878,193200906.35915962
288.0,6799078.199927622,1.2742656579394407,12.835243242512924,193200907.69056347
289.0,6799078.053227304,1.1761590856437751,11.847107195573555,193200908.92350638
290.0,6799077.917553577,1.0854231593465564,10.933246885254203,193200910.06377634
291.0,6799077.792236968,1.0016139886849937,10.089149095534616,193200911.11699992
292.0,6799077.676583606,0.9242685474235457,9.310139078097102,193200912.08900875
293.0,6799077.56992192,0.8529383768851271,8.59169264798526,193200912.98544702
294.0,6799077.47160264,0.7871895859511099,7.92943618360398,193200913.81177157
295.0,6799077.380998799,0.7266028510613224,7.319146626719441,193200914.5732517
296.0,6799077.29750573,0.6707734162140497,6.756751482459117,193200915.27496934
297.0,6799077.220541067,0.6193110929660336,6.238328819311766,193200915.921819
298.0,6799077.149544749,0.571840260432472,5.760107269127446,193200916.5185077
299.0,6799077.083979012,0.5279998652870206,5.3184660271174975,193200917.06955507
300.0,6799077.023328396,0.48744342176179056,4.909934851854557,193200917.5792933
301.0,6799076.967163028,0.449883098478972,4.531618594708943,193200918.05133525
302.0,6799076.915248098,0.41516492231477986,4.181932556544131,193200918.4876544
303.0,6799076.867309304,0.38310591646167536,3.8590286575324733,193200918.8905561
304.0,6799076.82307733,0.3535262198790525,3.561092600568589,193200919.26230383
305.0,6799076.782291588,0.3262517164001417,3.2863689806954826,193200919.6050877
306.0,6799076.74470022,0.3011140347320104,3.0331612851045495,193200919.92102444
307.0,6799076.710060097,0.2779505484555624,2.799831893135571,193200920.21215743
308.0,6799076.67813682,0.2566043760255384,2.584802076276716,193200920.4804567
309.0,6799076.648704718,0.23692438077051534,2.386551998164541,193200920.72781888
310.0,6799076.6215468515,0.2187651708929072,2.2036207145839914,193200920.95606723
311.0,6799076.596455009,0.20198709946896432,2.0346061734684002,193200921.1669517
312.0,6799076.573229923,0.18645641142442412,1.8781666455314197,193200921.36214697
313.0,6799076.551732757,0.17208061890156795,1.7333666223623718,193200921.54281998
314.0,6799076.531869526,0.15879746085263613,1.5995724266232385,193200921.70976055
315.0,6799076.513532309,0.14653485225937718,1.4760570648620428,193200921.86387575
316.0,6799076.496616607,0.1352229678809993,1.3621165809110511,193200922.00604382
317.0,6799076.481021332,0.1247942422541703,1.2570700558867736,193200922.13711435
318.0,6799076.466648818,0.11518336969301775,1.1602596081899637,193200922.25790817
319.0,6799076.453404812,0.10632730428912882,1.0710503935056184,193200922.36921746
320.0,6799076.441198478,0.09816525991155042,0.9888306048029791,193200922.47180563
321.0,6799076.429942397,0.0906387102067891,0.9130114723355293,193200922.56640738
322.0,6799076.4195525665,0.08369138859881103,0.8430272636409972,193200922.65372875
323.0,6799076.4099484,0.07726928828904217,0.7783352835413537,193200922.734447
324.0,6799076.401054812,0.07132208500260137,0.7184298894094021,193200922.80919316
325.0,6799076.392828147,0.06582077506642757,0.6630168360664681,193200922.8783342
326.0,6799076.385228865,0.0607390062784057,0.6118296932211154,193200922.9422024
327.0,6799076.378215092,0.05604879896714116,0.5645864053140897,193200923.00114965
328.0,6799076.371746296,0.05172306031408086,0.5210139237966904,193200923.0555167
329.0,6799076.365783277,0.047735584353513195,0.4808482071307713,193200923.1056329
330.0,6799076.360288172,0.044061051972568085,0.44383422078873963,193200923.15181652
